,Home Team,Away Team,Score,Half Time Score,Match Excitement,Home Team Rating,Away Team Rating,Home Team Possession %,Away Team Possession %,Home Team Off Target Shots,Home Team On Target Shots,Home Team Total Shots,Home Team Blocked Shots,Home Team Corners,Home Team Throw Ins,Home Team Pass Success %,Home Team Aerials Won,Home Team Clearances,Home Team Fouls,Home Team Yellow Cards,Home Team Second Yellow Cards,Home Team Red Cards,Away Team Off Target Shots,Away Team On Target Shots,Away Team Total Shots,Away Team Blocked Shots,Away Team Corners,Away Team Throw Ins,Away Team Pass Success %,Away Team Aerials Won,Away Team Clearances,Away Team Fouls,Away Team Yellow Cards,Away Team Second Yellow Cards,Away Team Red Cards,Home Team Goals Scored,Away Team Goals Scored,Home Team Goals Conceeded,Away Team Goals Conceeded,year
12,CHELSEA,LEICESTER CITY,2-0,0-0,5.4,7.9,5.6,63,37,9.0,10.0,27.0,8.0,8.0,23.0,88.0,27.0,42.0,11.0,0.0,0.0,0.0,0.0,4.0,6.0,2.0,7.0,21.0,71.0,15.0,26.0,11.0,1.0,0.0,0.0,2,0,0,2,2014
13,SOUTHAMPTON,WEST BROM,0-0,0-0,2.3,6.6,6.6,58,42,5.0,2.0,9.0,2.0,1.0,32.0,81.0,15.0,13.0,14.0,1.0,0.0,0.0,4.0,2.0,8.0,2.0,5.0,20.0,75.0,9.0,17.0,15.0,2.0,0.0,0.0,0,0,0,0,2014
14,CRYSTAL PALACE,WEST HAM,1-3,0-2,6.5,5.2,7.7,46,54,3.0,4.0,9.0,2.0,6.0,23.0,73.0,27.0,23.0,14.0,1.0,0.0,0.0,4.0,8.0,17.0,5.0,9.0,24.0,78.0,25.0,36.0,11.0,3.0,0.0,0.0,1,3,3,1,2014
15,EVERTON,ARSENAL,2-2,2-0,7.3,6.6,6.7,46,54,4.0,2.0,8.0,2.0,3.0,24.0,80.0,10.0,33.0,10.0,1.0,0.0,0.0,9.0,3.0,13.0,1.0,3.0,21.0,85.0,10.0,28.0,18.0,4.0,0.0,0.0,2,2,2,2,2014
16,TOTTENHAM,QPR,4-0,3-0,5.4,8.7,5.3,65,35,6.0,5.0,18.0,7.0,7.0,15.0,90.0,7.0,15.0,12.0,0.0,0.0,0.0,7.0,1.0,9.0,1.0,6.0,23.0,80.0,9.0,22.0,6.0,1.0,0.0,0.0,4,0,0,4,2014
17,HULL CITY,STOKE,1-1,1-0,5.0,6.1,6.4,43,57,3.0,2.0,9.0,4.0,4.0,24.0,74.0,22.0,39.0,10.0,1.0,0.0,1.0,11.0,3.0,19.0,5.0,5.0,20.0,84.0,29.0,47.0,10.0,3.0,0.0,0.0,1,1,1,1,2014
18,SUNDERLAND,MAN UTD,1-1,1-1,4.6,7.0,6.1,45,55,6.0,3.0,11.0,2.0,4.0,18.0,84.0,10.0,22.0,10.0,0.0,0.0,0.0,4.0,3.0,10.0,3.0,4.0,8.0,88.0,12.0,24.0,15.0,2.0,0.0,0.0,1,1,1,1,2014
19,MAN CITY,LIVERPOOL,3-1,1-0,6.3,7.3,5.7,53,47,4.0,4.0,9.0,1.0,6.0,12.0,86.0,7.0,25.0,13.0,1.0,0.0,0.0,4.0,3.0,11.0,4.0,7.0,16.0,87.0,8.0,20.0,7.0,1.0,0.0,0.0,3,1,1,3,2014
20,BURNLEY,MAN UTD,0-0,0-0,2.5,6.5,6.2,36,64,4.0,3.0,9.0,2.0,3.0,30.0,68.0,22.0,35.0,10.0,2.0,0.0,0.0,3.0,2.0,7.0,2.0,6.0,21.0,82.0,15.0,30.0,14.0,2.0,0.0,0.0,0,0,0,0,2014
21,MAN CITY,STOKE,0-1,0-0,3.5,5.6,8.3,72,28,5.0,2.0,16.0,9.0,11.0,18.0,88.0,13.0,14.0,14.0,2.0,0.0,0.0,4.0,2.0,7.0,1.0,4.0,17.0,70.0,17.0,36.0,5.0,1.0,0.0,0.0,0,1,1,0,2014
22,SWANSEA,WEST BROM,3-0,2-0,5.6,8.4,5.2,56,44,7.0,8.0,15.0,0.0,0.0,15.0,89.0,12.0,29.0,10.0,1.0,0.0,0.0,7.0,2.0,16.0,7.0,7.0,15.0,83.0,10.0,8.0,8.0,2.0,0.0,0.0,3,0,0,3,2014
23,NEWCASTLE,CRYSTAL PALACE,3-3,1-1,9.9,6.7,6.8,64,36,10.0,4.0,18.0,4.0,11.0,21.0,84.0,25.0,15.0,12.0,1.0,0.0,0.0,4.0,7.0,12.0,1.0,4.0,15.0,67.0,28.0,48.0,19.0,3.0,0.0,0.0,3,3,3,3,2014
24,QPR,SUNDERLAND,1-0,1-0,4.2,6.4,6.1,40,60,7.0,5.0,18.0,6.0,4.0,19.0,77.0,13.0,32.0,8.0,1.0,0.0,0.0,5.0,6.0,16.0,5.0,6.0,23.0,87.0,17.0,25.0,9.0,2.0,0.0,0.0,1,0,0,1,2014
25,WEST HAM,SOUTHAMPTON,1-3,1-1,6.1,5.1,8.0,36,64,1.0,2.0,4.0,1.0,2.0,21.0,75.0,13.0,37.0,11.0,2.0,0.0,0.0,4.0,8.0,18.0,6.0,9.0,20.0,86.0,15.0,25.0,13.0,1.0,0.0,0.0,1,3,3,1,2014
26,EVERTON,CHELSEA,3-6,0-2,9.5,4.8,8.5,61,39,4.0,6.0,16.0,6.0,8.0,31.0,86.0,15.0,22.0,7.0,1.0,0.0,0.0,1.0,8.0,12.0,3.0,2.0,13.0,73.0,10.0,31.0,16.0,3.0,0.0,0.0,3,6,6,3,2014
27,ASTON VILLA,HULL CITY,2-1,2-0,5.7,6.5,5.8,45,55,6.0,4.0,11.0,1.0,3.0,24.0,77.0,15.0,25.0,9.0,1.0,0.0,0.0,3.0,3.0,9.0,3.0,7.0,23.0,86.0,17.0,37.0,10.0,4.0,0.0,0.0,2,1,1,2,2014
28,TOTTENHAM,LIVERPOOL,0-3,0-1,5.3,4.7,8.7,60,40,4.0,1.0,7.0,2.0,7.0,34.0,86.0,13.0,16.0,14.0,0.0,0.0,0.0,8.0,8.0,17.0,1.0,3.0,17.0,76.0,4.0,45.0,11.0,4.0,0.0,0.0,0,3,3,0,2014
29,LEICESTER CITY,ARSENAL,1-1,1-1,5.3,6.1,7.3,32,68,4.0,3.0,9.0,2.0,5.0,15.0,75.0,10.0,32.0,14.0,3.0,0.0,0.0,5.0,6.0,24.0,13.0,10.0,16.0,89.0,26.0,31.0,5.0,1.0,0.0,0.0,1,1,1,1,2014
30,ARSENAL,MAN CITY,2-2,0-1,8.3,6.9,7.3,45,55,9.0,6.0,15.0,0.0,0.0,15.0,79.0,14.0,26.0,11.0,3.0,0.0,0.0,5.0,8.0,15.0,2.0,3.0,26.0,80.0,14.0,29.0,15.0,4.0,0.0,0.0,2,2,2,2,2014
31,STOKE,LEICESTER CITY,0-1,0-0,3.7,6.5,6.5,59,41,12.0,6.0,27.0,9.0,16.0,30.0,79.0,51.0,21.0,9.0,3.0,0.0,0.0,5.0,1.0,8.0,2.0,3.0,21.0,70.0,33.0,47.0,15.0,0.0,0.0,0.0,0,1,1,0,2014
32,CHELSEA,SWANSEA,4-2,1-1,8.9,7.9,5.8,55,45,12.0,9.0,30.0,9.0,7.0,22.0,89.0,11.0,11.0,12.0,0.0,0.0,0.0,8.0,2.0,12.0,2.0,4.0,13.0,87.0,6.0,40.0,11.0,3.0,0.0,0.0,4,2,2,4,2014
33,WEST BROM,EVERTON,0-2,0-1,4.3,5.3,6.9,45,55,3.0,3.0,13.0,7.0,9.0,29.0,78.0,20.0,10.0,12.0,2.0,0.0,0.0,6.0,5.0,12.0,1.0,1.0,25.0,83.0,16.0,43.0,10.0,3.0,0.0,0.0,0,2,2,0,2014
34,SOUTHAMPTON,NEWCASTLE,4-0,2-0,6.0,8.8,4.6,50,50,3.0,7.0,10.0,0.0,5.0,19.0,84.0,13.0,19.0,16.0,0.0,0.0,0.0,3.0,4.0,9.0,2.0,5.0,33.0,84.0,9.0,16.0,7.0,2.0,0.0,0.0,4,0,0,4,2014
35,CRYSTAL PALACE,BURNLEY,0-0,0-0,2.7,6.0,5.7,45,55,10.0,3.0,16.0,3.0,5.0,25.0,72.0,28.0,41.0,12.0,2.0,0.0,0.0,4.0,3.0,11.0,4.0,6.0,27.0,72.0,21.0,32.0,11.0,3.0,0.0,0.0,0,0,0,0,2014
36,SUNDERLAND,TOTTENHAM,2-2,1-1,8.4,6.5,6.9,38,62,3.0,1.0,7.0,3.0,6.0,19.0,81.0,12.0,22.0,16.0,5.0,0.0,0.0,4.0,6.0,16.0,6.0,5.0,21.0,87.0,7.0,18.0,14.0,1.0,0.0,0.0,2,2,2,2,2014
37,LIVERPOOL,ASTON VILLA,0-1,0-1,3.2,5.7,7.3,75,25,10.0,1.0,18.0,7.0,7.0,22.0,89.0,23.0,25.0,9.0,2.0,0.0,0.0,3.0,1.0,5.0,1.0,6.0,25.0,62.0,11.0,45.0,10.0,1.0,0.0,0.0,0,1,1,0,2014
38,MAN UTD,QPR,4-0,3-0,5.6,8.7,5.0,68,32,7.0,9.0,18.0,2.0,3.0,15.0,91.0,14.0,12.0,11.0,1.0,0.0,0.0,4.0,2.0,9.0,3.0,1.0,11.0,77.0,7.0,21.0,8.0,0.0,0.0,0.0,4,0,0,4,2014
39,HULL CITY,WEST HAM,2-2,1-0,8.1,7.0,5.9,41,59,4.0,6.0,11.0,1.0,3.0,16.0,77.0,17.0,50.0,12.0,3.0,0.0,0.0,4.0,5.0,17.0,8.0,10.0,31.0,81.0,18.0,25.0,7.0,1.0,0.0,0.0,2,2,2,2,2014
40,QPR,STOKE,2-2,1-1,7.5,6.2,6.3,52,48,10.0,5.0,21.0,6.0,10.0,20.0,80.0,23.0,33.0,6.0,2.0,0.0,0.0,3.0,4.0,8.0,1.0,1.0,20.0,76.0,23.0,38.0,15.0,4.0,0.0,0.0,2,2,2,2,2014
41,ASTON VILLA,ARSENAL,0-3,0-3,4.6,5.1,8.1,29,71,2.0,2.0,6.0,2.0,5.0,31.0,73.0,3.0,16.0,11.0,1.0,0.0,0.0,4.0,3.0,9.0,2.0,5.0,22.0,90.0,11.0,17.0,9.0,3.0,0.0,0.0,0,3,3,0,2014
42,SWANSEA,SOUTHAMPTON,0-1,0-0,3.7,6.1,6.9,44,56,2.0,2.0,5.0,1.0,2.0,16.0,81.0,11.0,42.0,11.0,1.0,0.0,1.0,5.0,4.0,11.0,2.0,4.0,18.0,86.0,12.0,13.0,15.0,4.0,0.0,0.0,0,1,1,0,2014
43,NEWCASTLE,HULL CITY,2-2,0-0,7.8,6.2,6.5,63,37,8.0,7.0,25.0,10.0,4.0,24.0,84.0,28.0,19.0,11.0,4.0,0.0,0.0,5.0,3.0,10.0,2.0,2.0,23.0,74.0,25.0,52.0,11.0,2.0,0.0,0.0,2,2,2,2,2014
44,BURNLEY,SUNDERLAND,0-0,0-0,4.0,5.3,7.0,44,56,8.0,6.0,16.0,2.0,5.0,26.0,73.0,22.0,20.0,14.0,1.0,0.0,0.0,6.0,6.0,14.0,2.0,1.0,12.0,83.0,19.0,37.0,14.0,2.0,0.0,0.0,0,0,0,0,2014
45,WEST HAM,LIVERPOOL,3-1,2-1,6.7,7.7,5.3,38,62,3.0,7.0,13.0,3.0,7.0,28.0,71.0,12.0,34.0,16.0,4.0,0.0,0.0,3.0,5.0,11.0,3.0,5.0,21.0,82.0,16.0,37.0,11.0,1.0,0.0,0.0,3,1,1,3,2014
46,LEICESTER CITY,MAN UTD,5-3,1-2,9.4,7.6,5.2,43,57,6.0,5.0,15.0,4.0,2.0,32.0,76.0,23.0,33.0,11.0,1.0,0.0,0.0,7.0,5.0,16.0,4.0,4.0,23.0,84.0,18.0,44.0,9.0,1.0,0.0,1.0,5,3,3,5,2014
47,TOTTENHAM,WEST BROM,0-1,0-0,3.2,5.2,8.1,62,38,4.0,1.0,7.0,2.0,9.0,26.0,82.0,15.0,26.0,12.0,2.0,0.0,0.0,4.0,4.0,10.0,2.0,7.0,15.0,72.0,9.0,35.0,7.0,2.0,0.0,0.0,0,1,1,0,2014
48,MAN CITY,CHELSEA,1-1,0-0,5.2,6.9,6.3,58,42,8.0,4.0,16.0,4.0,14.0,10.0,90.0,19.0,15.0,16.0,4.0,1.0,0.0,2.0,2.0,6.0,2.0,2.0,12.0,84.0,11.0,38.0,12.0,4.0,0.0,0.0,1,1,1,1,2014
49,EVERTON,CRYSTAL PALACE,2-3,1-1,8.0,5.8,6.9,75,25,6.0,6.0,17.0,5.0,7.0,25.0,89.0,11.0,35.0,8.0,2.0,0.0,0.0,2.0,3.0,10.0,5.0,1.0,19.0,66.0,9.0,37.0,13.0,2.0,0.0,0.0,2,3,3,2,2014
50,LIVERPOOL,EVERTON,1-1,0-0,6.5,7.1,6.5,46,54,7.0,8.0,24.0,9.0,8.0,16.0,85.0,7.0,24.0,8.0,2.0,0.0,0.0,5.0,5.0,11.0,1.0,2.0,22.0,87.0,7.0,22.0,9.0,1.0,0.0,0.0,1,1,1,1,2014
51,SUNDERLAND,SWANSEA,0-0,0-0,2.8,7.1,6.1,49,51,6.0,3.0,15.0,6.0,10.0,23.0,81.0,9.0,13.0,13.0,2.0,0.0,0.0,6.0,1.0,7.0,0.0,1.0,10.0,85.0,12.0,33.0,15.0,2.0,1.0,0.0,0,0,0,0,2014
52,CHELSEA,ASTON VILLA,3-0,1-0,5.4,8.3,4.6,62,38,6.0,8.0,17.0,3.0,9.0,17.0,92.0,17.0,23.0,11.0,2.0,0.0,0.0,5.0,1.0,7.0,1.0,2.0,14.0,84.0,14.0,27.0,9.0,2.0,0.0,0.0,3,0,0,3,2014
53,MAN UTD,WEST HAM,2-1,2-1,5.9,6.4,6.0,57,43,3.0,3.0,8.0,2.0,7.0,20.0,84.0,11.0,51.0,10.0,1.0,0.0,1.0,5.0,4.0,13.0,4.0,10.0,26.0,81.0,21.0,24.0,12.0,3.0,0.0,0.0,2,1,1,2,2014
54,SOUTHAMPTON,QPR,2-1,0-0,6.8,7.0,5.5,55,45,6.0,9.0,19.0,4.0,6.0,23.0,79.0,30.0,16.0,12.0,2.0,0.0,0.0,8.0,2.0,10.0,0.0,3.0,23.0,76.0,18.0,35.0,11.0,1.0,0.0,0.0,2,1,1,2,2014
55,CRYSTAL PALACE,LEICESTER CITY,2-0,0-0,4.0,7.4,5.4,40,60,6.0,6.0,16.0,4.0,6.0,25.0,68.0,28.0,28.0,14.0,0.0,0.0,0.0,2.0,1.0,7.0,4.0,6.0,24.0,77.0,23.0,33.0,9.0,2.0,0.0,0.0,2,0,0,2,2014
56,HULL CITY,MAN CITY,2-4,2-2,8.6,6.0,7.4,40,60,4.0,5.0,10.0,1.0,3.0,14.0,85.0,16.0,29.0,10.0,0.0,0.0,0.0,9.0,6.0,20.0,5.0,8.0,20.0,89.0,10.0,22.0,6.0,2.0,0.0,0.0,2,4,4,2,2014
57,ARSENAL,TOTTENHAM,1-1,0-0,4.9,6.8,6.6,69,31,3.0,6.0,16.0,7.0,15.0,28.0,88.0,15.0,11.0,7.0,3.0,0.0,0.0,2.0,4.0,6.0,0.0,5.0,14.0,72.0,9.0,44.0,16.0,6.0,0.0,0.0,1,1,1,1,2014
58,WEST BROM,BURNLEY,4-0,2-0,5.8,8.9,4.5,63,37,6.0,6.0,20.0,8.0,10.0,20.0,86.0,19.0,25.0,7.0,1.0,0.0,0.0,4.0,2.0,10.0,4.0,2.0,16.0,77.0,20.0,49.0,9.0,2.0,0.0,0.0,4,0,0,4,2014
59,STOKE,NEWCASTLE,1-0,1-0,3.8,7.4,5.7,44,56,4.0,3.0,12.0,5.0,2.0,27.0,78.0,26.0,39.0,20.0,1.0,0.0,0.0,7.0,1.0,16.0,8.0,10.0,28.0,79.0,14.0,22.0,15.0,2.0,0.0,0.0,1,0,0,1,2014
60,LEICESTER CITY,BURNLEY,2-2,2-1,7.3,6.4,6.4,53,47,3.0,6.0,15.0,6.0,9.0,23.0,76.0,26.0,41.0,16.0,2.0,0.0,0.0,4.0,4.0,10.0,2.0,3.0,25.0,70.0,35.0,39.0,12.0,2.0,0.0,0.0,2,2,2,2,2014
61,LIVERPOOL,WEST BROM,2-1,1-0,5.7,6.8,6.2,54,46,5.0,7.0,19.0,7.0,5.0,34.0,85.0,13.0,33.0,12.0,2.0,0.0,0.0,4.0,4.0,8.0,0.0,5.0,16.0,74.0,12.0,26.0,15.0,2.0,0.0,0.0,2,1,1,2,2014
62,SUNDERLAND,STOKE,3-1,2-1,5.8,7.7,5.3,39,61,0.0,3.0,8.0,5.0,7.0,19.0,69.0,18.0,18.0,10.0,3.0,0.0,0.0,4.0,5.0,11.0,2.0,4.0,22.0,83.0,22.0,25.0,17.0,4.0,0.0,0.0,3,1,1,3,2014
63,HULL CITY,CRYSTAL PALACE,2-0,0-0,4.2,7.7,5.9,59,41,6.0,2.0,15.0,7.0,6.0,22.0,83.0,30.0,51.0,6.0,1.0,0.0,0.0,5.0,2.0,11.0,4.0,7.0,25.0,69.0,20.0,26.0,14.0,2.0,0.0,0.0,2,0,0,2,2014
64,SWANSEA,NEWCASTLE,2-2,1-1,6.8,7.2,6.4,63,37,5.0,5.0,11.0,1.0,3.0,22.0,86.0,15.0,26.0,11.0,1.0,0.0,0.0,4.0,4.0,9.0,1.0,1.0,15.0,73.0,13.0,12.0,15.0,3.0,0.0,0.0,2,2,2,2,2014
65,ASTON VILLA,MAN CITY,0-2,0-0,5.6,5.7,7.9,32,68,4.0,1.0,6.0,1.0,0.0,16.0,76.0,9.0,37.0,4.0,0.0,0.0,0.0,8.0,7.0,27.0,12.0,7.0,24.0,89.0,15.0,6.0,6.0,1.0,0.0,0.0,0,2,2,0,2014
66,MAN UTD,EVERTON,2-1,1-0,6.3,6.7,6.1,49,51,8.0,4.0,15.0,3.0,11.0,11.0,85.0,7.0,31.0,18.0,4.0,0.0,0.0,2.0,6.0,10.0,2.0,6.0,17.0,85.0,13.0,32.0,11.0,3.0,0.0,0.0,2,1,1,2,2014
67,CHELSEA,ARSENAL,2-0,1-0,3.6,7.7,5.6,47,53,1.0,3.0,5.0,1.0,2.0,26.0,79.0,23.0,29.0,14.0,4.0,0.0,0.0,6.0,0.0,10.0,4.0,2.0,20.0,84.0,11.0,29.0,10.0,3.0,0.0,0.0,2,0,0,2,2014
68,TOTTENHAM,SOUTHAMPTON,1-0,1-0,3.6,6.8,6.4,46,54,3.0,4.0,9.0,2.0,10.0,35.0,76.0,16.0,33.0,15.0,2.0,0.0,0.0,1.0,3.0,7.0,3.0,5.0,32.0,77.0,10.0,33.0,9.0,1.0,0.0,0.0,1,0,0,1,2014
69,WEST HAM,QPR,2-0,1-0,3.9,7.0,5.9,48,52,5.0,3.0,11.0,3.0,7.0,31.0,78.0,11.0,32.0,10.0,2.0,0.0,0.0,3.0,3.0,10.0,4.0,5.0,19.0,78.0,20.0,49.0,11.0,2.0,0.0,0.0,2,0,0,2,2014
70,MAN CITY,TOTTENHAM,4-1,2-1,8.5,7.8,4.4,62,38,4.0,12.0,20.0,4.0,3.0,17.0,86.0,6.0,17.0,11.0,1.0,0.0,0.0,4.0,7.0,19.0,8.0,4.0,14.0,76.0,6.0,18.0,9.0,2.0,0.0,1.0,4,1,1,4,2014
71,ARSENAL,HULL CITY,2-2,1-1,8.5,7.0,6.6,66,34,6.0,9.0,25.0,10.0,10.0,19.0,88.0,15.0,5.0,9.0,2.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,17.0,76.0,16.0,38.0,13.0,2.0,0.0,0.0,2,2,2,2,2014
72,EVERTON,ASTON VILLA,3-0,1-0,5.2,7.7,5.0,61,39,2.0,6.0,15.0,7.0,3.0,28.0,88.0,15.0,33.0,11.0,2.0,0.0,0.0,4.0,2.0,10.0,4.0,4.0,17.0,82.0,16.0,24.0,16.0,2.0,0.0,0.0,3,0,0,3,2014
73,BURNLEY,WEST HAM,1-3,0-0,6.8,5.4,7.8,47,53,10.0,3.0,17.0,4.0,5.0,36.0,70.0,13.0,32.0,3.0,0.0,0.0,0.0,9.0,6.0,22.0,7.0,7.0,25.0,78.0,25.0,60.0,10.0,1.0,0.0,0.0,1,3,3,1,2014
74,SOUTHAMPTON,SUNDERLAND,8-0,3-0,6.6,9.9,1.3,53,47,9.0,10.0,21.0,2.0,5.0,12.0,82.0,9.0,32.0,11.0,1.0,0.0,0.0,9.0,1.0,13.0,3.0,6.0,19.0,79.0,21.0,25.0,8.0,3.0,0.0,0.0,8,0,0,8,2014
75,CRYSTAL PALACE,CHELSEA,1-2,0-0,6.3,6.0,6.7,28,72,3.0,4.0,7.0,0.0,3.0,20.0,74.0,13.0,23.0,13.0,2.0,1.0,0.0,8.0,5.0,14.0,1.0,2.0,25.0,89.0,10.0,25.0,7.0,1.0,0.0,1.0,1,2,2,1,2014
76,NEWCASTLE,LEICESTER CITY,1-0,0-0,3.8,7.4,5.6,50,50,6.0,6.0,19.0,7.0,10.0,23.0,75.0,28.0,27.0,13.0,0.0,0.0,0.0,1.0,2.0,7.0,4.0,7.0,36.0,73.0,18.0,37.0,15.0,3.0,0.0,0.0,1,0,0,1,2014
77,QPR,LIVERPOOL,2-3,0-0,9.7,5.4,6.2,43,57,8.0,5.0,15.0,2.0,7.0,35.0,68.0,21.0,27.0,10.0,2.0,0.0,0.0,7.0,4.0,15.0,4.0,2.0,24.0,78.0,21.0,58.0,15.0,3.0,0.0,0.0,2,3,3,2,2014
78,STOKE,SWANSEA,2-1,1-1,5.4,6.5,6.6,43,57,8.0,3.0,17.0,6.0,3.0,26.0,80.0,18.0,24.0,17.0,4.0,0.0,0.0,4.0,5.0,13.0,4.0,5.0,25.0,82.0,16.0,27.0,7.0,1.0,0.0,0.0,2,1,1,2,2014
79,WEST BROM,MAN UTD,2-2,1-0,8.3,6.1,7.0,37,63,4.0,2.0,8.0,2.0,0.0,15.0,77.0,3.0,55.0,6.0,1.0,0.0,0.0,8.0,7.0,22.0,7.0,11.0,28.0,84.0,14.0,28.0,8.0,2.0,0.0,0.0,2,2,2,2,2014
80,WEST HAM,MAN CITY,2-1,1-0,6.4,6.8,6.3,30,70,6.0,4.0,12.0,2.0,4.0,15.0,60.0,16.0,32.0,12.0,2.0,0.0,0.0,11.0,5.0,21.0,5.0,8.0,18.0,81.0,27.0,36.0,14.0,1.0,0.0,0.0,2,1,1,2,2014
81,LIVERPOOL,HULL CITY,0-0,0-0,2.8,6.6,7.0,66,34,6.0,4.0,17.0,7.0,14.0,33.0,84.0,13.0,19.0,12.0,3.0,0.0,0.0,2.0,3.0,6.0,1.0,1.0,13.0,72.0,15.0,47.0,17.0,2.0,0.0,0.0,0,0,0,0,2014
82,SUNDERLAND,ARSENAL,0-2,0-1,4.3,5.1,6.7,43,57,5.0,3.0,11.0,3.0,3.0,26.0,74.0,15.0,19.0,11.0,2.0,0.0,0.0,8.0,5.0,15.0,2.0,3.0,15.0,82.0,16.0,25.0,9.0,3.0,0.0,0.0,0,2,2,0,2014
83,WEST BROM,CRYSTAL PALACE,2-2,0-2,7.8,6.1,6.2,69,31,9.0,4.0,17.0,4.0,6.0,25.0,83.0,23.0,28.0,14.0,3.0,0.0,0.0,0.0,6.0,8.0,2.0,3.0,22.0,64.0,19.0,35.0,8.0,1.0,0.0,0.0,2,2,2,2,2014
